bedrooms,bathrooms,area,zipcode,has_wifi,has_ac,is_entire_place,price
3,4,972,90001,1,1,1,171.26759054404738
4,4,1700,33101,0,1,0,175.70922531881075
2,3,762,10003,1,1,1,130.4904332281395
3,4,945,10001,1,0,1,146.58946018629644
1,1,299,10003,0,1,1,54.257916650807985
2,2,702,33101,1,0,1,98.86990723152132
2,3,578,10002,1,0,0,91.54381320019606
4,4,1264,33101,1,1,1,162.2021622204839
1,1,365,90001,1,1,0,65.27141025701897
2,3,814,90001,1,0,1,138.6995567938163
2,3,760,10002,1,1,1,131.75563832295646
4,4,940,33101,1,1,1,189.50563762321173
4,4,1460,10001,1,1,1,193.70982576900875
1,2,353,10002,1,1,1,104.8505882571516
1,2,370,10003,1,1,1,88.54103004695425
4,4,1720,10003,1,1,1,201.53950954192672
1,1,246,10003,1,1,1,91.73714234074345
4,4,1280,10001,1,1,1,179.33352707766306
2,2,758,10002,0,1,1,122.74540370616167
4,4,1080,10001,1,0,1,177.76187758574832
2,2,846,90001,1,1,1,118.75447378869917
2,3,736,10003,1,1,1,120.47231567729004
3,4,1176,90001,1,1,1,155.65871668101727
1,1,321,90001,1,0,0,68.99005541921461
3,4,1170,94105,1,0,1,163.02009868789315
3,3,1209,90001,1,1,1,150.39974169542086
4,4,1444,90001,1,0,1,181.465853413261
4,4,1444,90001,1,1,1,194.90537036138485
3,4,1089,90001,1,1,1,171.506907146653
2,2,612,90001,1,1,1,133.91880120122488
2,3,684,10002,1,1,1,143.06980832198045
2,2,684,10002,1,1,1,110.28708567243456
4,4,1476,94105,1,1,1,207.23586209538024
2,2,798,10003,1,1,1,117.94023495444286
1,1,297,90001,1,1,1,95.97372812454428
2,2,686,10002,0,1,1,116.0298662605109
1,2,424,10003,1,1,1,94.77850621543031
1,1,312,90001,0,1,1,62.82303140225068
1,2,308,90001,1,1,1,94.08435489783652
4,4,1440,90001,1,0,1,165.5061676469439
3,3,1176,10003,1,1,1,167.37299235842775
3,4,1050,33101,1,1,1,179.51792657139248
2,2,832,90001,1,0,1,107.9308901070331
3,4,1176,94105,1,0,1,162.9197074251927
1,2,392,94105,1,1,1,91.04608477992025
4,4,1508,90001,1,1,1,184.51515269863208
3,3,1398,33101,1,1,1,170.7949470386537
4,4,1356,10001,1,0,1,178.61461738156586
1,2,249,33101,1,0,1,103.7214804193101
2,3,860,33101,1,1,1,129.7776752129708
3,3,981,90001,1,1,1,162.6183633247449
2,2,710,94105,1,0,1,114.22413412957782
2,2,830,90001,1,0,1,123.80778009744233
1,1,269,10002,1,0,1,72.45342342670054
2,3,574,94105,1,1,0,117.35441162448417
1,2,269,10002,1,1,0,83.77001120701065
2,2,620,10002,1,0,1,102.33942885154212
3,4,1113,90001,1,0,1,164.54581534581752
3,3,1128,33101,1,1,1,162.80249005578364
3,3,1089,10003,1,1,0,151.46054694905567
2,3,558,10003,1,1,1,142.61965653917645
4,4,936,10001,1,1,0,180.99344801236305
1,2,352,10001,1,0,1,85.15055310150863
2,2,652,10001,1,0,1,115.13052318434177
1,1,372,10001,1,0,0,63.163993107417866
2,2,770,33101,1,1,0,112.58355316114555
4,4,1424,33101,1,1,1,182.70250550881133
